Energy,"Atomic Weight, Atomic Charge = [ 1, 0]Depth = 20","Atomic Weight, Atomic Charge = [ 1, 1]Depth = 20","Atomic Weight, Atomic Charge = [ 2, 1]Depth = 20","Atomic Weight, Atomic Charge = [ 3, 1]Depth = 20","Atomic Weight, Atomic Charge = [ 3, 2]Depth = 20","Atomic Weight, Atomic Charge = [ 4, 2]Depth = 20"
28.22,9.5087E+05,6.7302E+05,1.0875E+03,2.3892E+02,7.7223E+01,5.9178E+01
31.09,8.4408E+05,7.0085E+05,9.7459E+02,1.9082E+02,6.1059E+01,3.9815E+01
34.26,7.5316E+05,7.2519E+05,8.5318E+02,1.4809E+02,4.6761E+01,2.5794E+01
37.75,6.7047E+05,7.4489E+05,7.2934E+02,1.0876E+02,3.3912E+01,1.5466E+01
41.6,5.929E+05,7.5833E+05,6.0738E+02,7.7603E+01,2.4003E+01,9.0175E+00
45.84,5.1858E+05,7.6382E+05,4.8718E+02,5.2286E+01,1.6055E+01,4.8923E+00
50.52,4.4672E+05,7.6003E+05,3.767E+02,3.3447E+01,1.0186E+01,2.4871E+00
55.68,3.7778E+05,7.4517E+05,2.7914E+02,2.015E+01,6.0908E+00,1.1742E+00
61.37,3.1296E+05,7.1847E+05,1.9746E+02,1.1381E+01,3.4182E+00,5.0944E-01
67.65,2.5347E+05,6.791E+05,1.3272E+02,5.9973E+00,1.7918E+00,2.0143E-01
74.6,2.0001E+05,6.2739E+05,8.4314E+01,2.9177E+00,8.6977E-01,7.2506E-02
82.26,1.5338E+05,5.6453E+05,5.0378E+01,1.2997E+00,3.8652E-01,2.3602E-02
90.74,1.1389E+05,4.9274E+05,2.8137E+01,5.2598E-01,1.5591E-01,6.83E-03
100.12,8.1516E+04,4.1528E+05,1.459E+01,1.9211E-01,5.6781E-02,1.7474E-03
110.53,5.5837E+04,3.3603E+05,6.9839E+00,6.329E-02,1.8568E-02,3.8655E-04
122.03,3.6311E+04,2.5997E+05,3.0578E+00,1.809E-02,5.3546E-03,7.2483E-05
134.81,2.2117E+04,1.9081E+05,1.2156E+00,4.537E-03,1.3564E-03,1.1197E-05
148.97,1.2526E+04,1.3213E+05,4.3257E-01,1.0105E-03,3.0056E-04,1.3408E-06
164.82,6.5914E+03,8.5548E+04,1.3663E-01,1.7256E-04,5.4398E-05,1.2768E-07
182.37,3.1982E+03,5.1562E+04,3.8606E-02,2.486E-05,8.35E-06,1.1129E-08
201.83,1.4162E+03,2.8692E+04,9.1272E-03,2.8825E-06,9.7407E-07,6.8571E-10
223.93,5.6661E+02,1.4508E+04,1.9326E-03,2.287E-07,7.8997E-08,2.2106E-11
248.44,2.0527E+02,6.6103E+03,3.0731E-04,1.4635E-08,4.8813E-09,3.6915E-13
275.63,6.6395E+01,2.6723E+03,4.5971E-05,9.0138E-10,2.7814E-10,3.8619E-15
306,1.8922E+01,9.4402E+02,4.5937E-06,3.1307E-11,1.1302E-11,7.1869E-17
340.73,4.6421E+00,2.8589E+02,3.4366E-07,5.3996E-13,1.9186E-13,6.9351E-18
379.4,9.7738E-01,7.3144E+01,1.7043E-08,3.7921E-15,1.4409E-15,7.1072E-18
423.18,1.7218E-01,1.5294E+01,4.7207E-10,2.3692E-17,1.3305E-17,7.1791E-18
472.81,2.4674E-02,2.552E+00,1.0541E-11,6.6251E-18,6.6215E-18,7.1787E-18
529.1,2.8133E-03,3.2863E-01,2.0386E-13,6.9227E-18,6.9083E-18,7.1843E-18
593.04,2.4414E-04,3.1195E-02,1.9118E-15,6.8897E-18,6.8779E-18,7.1709E-18
666.5,1.521E-05,2.0676E-03,1.7225E-17,6.8715E-18,6.8961E-18,7.1523E-18
750.51,6.5015E-07,9.1453E-05,8.7308E-18,6.8506E-18,6.9002E-18,7.1274E-18
847.14,1.7547E-08,2.4923E-06,9.0032E-18,6.8307E-18,6.9018E-18,7.0977E-18
958.77,2.693E-10,3.7395E-08,8.9769E-18,6.8165E-18,6.9099E-18,7.0737E-18
1090.82,1.9227E-12,2.6124E-10,9.0035E-18,6.8112E-18,6.9157E-18,7.0538E-18
1243.62,6.2681E-15,8.0923E-13,8.9991E-18,6.8106E-18,6.9175E-18,7.0356E-18
1417.82,2.625E-17,1.3911E-15,8.987E-18,6.8201E-18,6.934E-18,7.0352E-18
1624.77,1.6257E-17,1.7588E-17,9.0181E-18,6.838E-18,6.9567E-18,7.0424E-18
1869.16,1.5874E-17,1.7621E-17,9.0215E-18,6.8568E-18,6.9776E-18,7.0561E-18
2158.06,1.5166E-17,1.5888E-17,9.0173E-18,6.871E-18,6.988E-18,7.064E-18
2500,8.1291E-18,7.9347E-18,7.6843E-18,6.7338E-18,6.8552E-18,6.807E-18
