t,x,y,z
144.0,28.84468,-8.0168085,-0.49645028
145.0,28.844805,-8.01635,-0.49646255
146.0,28.84493,-8.015891,-0.49647483
147.0,28.845055,-8.015432,-0.4964871
148.0,28.84518,-8.014974,-0.4964994
149.0,28.845304,-8.014515,-0.49651167
150.0,28.845428,-8.014056,-0.49652395
151.0,28.845554,-8.0135975,-0.49653623
152.0,28.845678,-8.013139,-0.4965485
153.0,28.845802,-8.01268,-0.49656078
154.0,28.845928,-8.012221,-0.49657306
155.0,28.846052,-8.011762,-0.49658534
156.0,28.846176,-8.011303,-0.49659762
157.0,28.846302,-8.010844,-0.4966099
158.0,28.846426,-8.0103855,-0.49662217
159.0,28.84655,-8.009927,-0.49663445
160.0,28.846676,-8.009468,-0.49664673
161.0,28.8468,-8.009009,-0.496659
162.0,28.846924,-8.008551,-0.49667126
163.0,28.847048,-8.008092,-0.49668354
164.0,28.847174,-8.007632,-0.49669582
165.0,28.847298,-8.007174,-0.4967081
166.0,28.847422,-8.006715,-0.49672037
167.0,28.847548,-8.006256,-0.49673265
168.0,28.847672,-8.005797,-0.49674493
169.0,28.847795,-8.005339,-0.4967572
170.0,28.84792,-8.00488,-0.4967695
171.0,28.848045,-8.004421,-0.49678174
172.0,28.84817,-8.003962,-0.49679402
173.0,28.848293,-8.003503,-0.4968063
174.0,28.848417,-8.003044,-0.49681857
175.0,28.848543,-8.002585,-0.49683085
176.0,28.848667,-8.002127,-0.49684313
177.0,28.848791,-8.001668,-0.4968554
178.0,28.848915,-8.001209,-0.49686766
179.0,28.849041,-8.00075,-0.49687994
180.0,28.849165,-8.000291,-0.4968922
181.0,28.849289,-7.999832,-0.4969045
182.0,28.849413,-7.9993734,-0.49691677
183.0,28.849539,-7.9989147,-0.49692905
184.0,28.849663,-7.9984555,-0.4969413
185.0,28.849787,-7.997997,-0.49695358
186.0,28.84991,-7.997538,-0.49696586
187.0,28.850037,-7.997079,-0.49697813
188.0,28.85016,-7.99662,-0.4969904
189.0,28.850285,-7.996161,-0.49700266
190.0,28.850409,-7.9957023,-0.49701494
191.0,28.850533,-7.9952435,-0.49702722
192.0,28.850658,-7.9947844,-0.4970395
193.0,28.850782,-7.9943256,-0.49705178
194.0,28.850906,-7.993867,-0.49706402
195.0,28.85103,-7.9934077,-0.4970763
196.0,28.851154,-7.992949,-0.49708858
197.0,28.851278,-7.99249,-0.49710086
198.0,28.851404,-7.992031,-0.4971131
199.0,28.851528,-7.9915724,-0.4971254
200.0,28.851652,-7.991113,-0.49713767
201.0,28.851776,-7.9906545,-0.49714994
202.0,28.8519,-7.9901953,-0.4971622
203.0,28.852024,-7.9897366,-0.49717447
204.0,28.85215,-7.989278,-0.49718675
205.0,28.852274,-7.9888186,-0.49719903
206.0,28.852398,-7.98836,-0.49721128
207.0,28.852522,-7.9879007,-0.49722356
208.0,28.852646,-7.987442,-0.49723583
209.0,28.85277,-7.986983,-0.4972481
210.0,28.852894,-7.986524,-0.49726036
211.0,28.853018,-7.986065,-0.49727264
212.0,28.853144,-7.985606,-0.49728492
213.0,28.853268,-7.985147,-0.49729717
214.0,28.853392,-7.9846883,-0.49730945
215.0,28.853516,-7.984229,-0.49732172
216.0,28.85364,-7.9837704,-0.497334
217.0,28.853764,-7.983311,-0.49734625
218.0,28.853888,-7.9828525,-0.49735853
219.0,28.854012,-7.9823933,-0.4973708
220.0,28.854136,-7.9819345,-0.49738306
221.0,28.854261,-7.9814754,-0.49739534
222.0,28.854385,-7.9810166,-0.49740762
223.0,28.85451,-7.9805574,-0.49741986
224.0,28.854633,-7.9800987,-0.49743214
225.0,28.854757,-7.9796395,-0.49744442
226.0,28.854881,-7.979181,-0.49745667
227.0,28.855005,-7.9787216,-0.49746895
228.0,28.85513,-7.978263,-0.49748123
229.0,28.855253,-7.9778037,-0.49749348
230.0,28.855377,-7.977345,-0.49750575
231.0,28.855501,-7.976886,-0.497518
232.0,28.855625,-7.976427,-0.49753028
233.0,28.85575,-7.975968,-0.49754256
234.0,28.855873,-7.9755087,-0.4975548
235.0,28.855997,-7.97505,-0.4975671
236.0,28.856121,-7.974591,-0.49757937
237.0,28.856245,-7.974132,-0.4975916
238.0,28.856369,-7.973673,-0.4976039
239.0,28.856493,-7.973214,-0.49761614
240.0,28.856617,-7.972755,-0.49762842
241.0,28.85674,-7.9722958,-0.4976407
242.0,28.856865,-7.971837,-0.49765295
243.0,28.85699,-7.971378,-0.49766523
244.0,28.857115,-7.970919,-0.49767748
245.0,28.857239,-7.97046,-0.49768975
246.0,28.85736,-7.9700007,-0.497702
247.0,28.857485,-7.969542,-0.49771428
248.0,28.857609,-7.969083,-0.49772656
249.0,28.857733,-7.9686236,-0.4977388
250.0,28.857857,-7.968165,-0.4977511
251.0,28.85798,-7.9677057,-0.49776334
252.0,28.858105,-7.967247,-0.4977756
253.0,28.858229,-7.966788,-0.49778786
254.0,28.858353,-7.9663286,-0.49780014
255.0,28.858477,-7.96587,-0.4978124
256.0,28.8586,-7.9654107,-0.49782467
257.0,28.858725,-7.9649515,-0.49783692
258.0,28.858849,-7.964493,-0.4978492
259.0,28.858973,-7.9640336,-0.49786147
260.0,28.859097,-7.9635744,-0.49787372
261.0,28.85922,-7.9631157,-0.497886
262.0,28.859344,-7.9626565,-0.49789825
263.0,28.859468,-7.9621973,-0.49791053
264.0,28.859592,-7.961738,-0.49792278
265.0,28.859716,-7.9612794,-0.49793506
266.0,28.85984,-7.96082,-0.4979473
267.0,28.859964,-7.960361,-0.49795958
268.0,28.860086,-7.9599023,-0.49797183
269.0,28.86021,-7.959443,-0.4979841
270.0,28.860334,-7.958984,-0.49799636
271.0,28.860458,-7.9585247,-0.4980086
272.0,28.860582,-7.958066,-0.4980209
273.0,28.860706,-7.957607,-0.49803314
274.0,28.86083,-7.9571476,-0.4980454
275.0,28.860954,-7.956689,-0.49805766
276.0,28.861078,-7.9562297,-0.49806994
277.0,28.8612,-7.9557705,-0.4980822
278.0,28.861324,-7.9553113,-0.49809447
279.0,28.861448,-7.954852,-0.49810672
280.0,28.861572,-7.9543934,-0.498119
281.0,28.861696,-7.953934,-0.49813125
282.0,28.86182,-7.953475,-0.4981435
283.0,28.861944,-7.953016,-0.49815577
284.0,28.862068,-7.952557,-0.49816802
285.0,28.86219,-7.952098,-0.4981803
286.0,28.862314,-7.9516387,-0.49819255
287.0,28.862438,-7.9511795,-0.4982048
288.0,28.862562,-7.9507203,-0.49821708
289.0,28.862686,-7.9502616,-0.49822932
290.0,28.86281,-7.9498024,-0.4982416
291.0,28.862932,-7.949343,-0.49825385
292.0,28.863056,-7.948884,-0.4982661
293.0,28.86318,-7.948425,-0.49827838
294.0,28.863304,-7.9479656,-0.49829063
295.0,28.863428,-7.947507,-0.4983029
296.0,28.86355,-7.9470477,-0.49831516
297.0,28.863674,-7.9465885,-0.4983274
298.0,28.863798,-7.9461293,-0.49833968
299.0,28.863922,-7.94567,-0.49835193
300.0,28.864046,-7.945211,-0.49836418
