t,x,y,z
132.0,17.404373,9.619292,-0.19002435
133.0,17.404085,9.619782,-0.19001879
134.0,17.403795,9.620273,-0.19001324
135.0,17.403505,9.620762,-0.19000769
136.0,17.403215,9.621252,-0.19000214
137.0,17.402925,9.621742,-0.18999659
138.0,17.402636,9.6222315,-0.18999104
139.0,17.402346,9.622722,-0.18998548
140.0,17.402056,9.623212,-0.18997994
141.0,17.401766,9.623701,-0.18997438
142.0,17.401476,9.624191,-0.18996884
143.0,17.401186,9.624681,-0.18996328
144.0,17.400896,9.625171,-0.18995772
145.0,17.400608,9.625661,-0.18995218
146.0,17.400318,9.62615,-0.18994662
147.0,17.400028,9.62664,-0.18994108
148.0,17.399738,9.6271305,-0.18993552
149.0,17.399448,9.62762,-0.18992996
150.0,17.399158,9.62811,-0.18992442
151.0,17.398869,9.628599,-0.18991886
152.0,17.398579,9.629089,-0.18991332
153.0,17.398289,9.629579,-0.18990776
154.0,17.397999,9.630069,-0.1899022
155.0,17.397707,9.630558,-0.18989666
156.0,17.397417,9.631048,-0.1898911
157.0,17.397127,9.631537,-0.18988554
158.0,17.396837,9.632028,-0.18987998
159.0,17.396547,9.632517,-0.18987444
160.0,17.396257,9.633007,-0.18986888
161.0,17.395967,9.633496,-0.18986332
162.0,17.395678,9.633986,-0.18985777
163.0,17.395388,9.634476,-0.18985222
164.0,17.395098,9.634965,-0.18984666
165.0,17.394808,9.635455,-0.1898411
166.0,17.394518,9.635944,-0.18983555
167.0,17.394226,9.636435,-0.18983
168.0,17.393936,9.636924,-0.18982445
169.0,17.393646,9.637413,-0.18981889
170.0,17.393356,9.637903,-0.18981333
171.0,17.393066,9.638392,-0.18980777
172.0,17.392776,9.638883,-0.18980221
173.0,17.392485,9.639372,-0.18979666
174.0,17.392195,9.639861,-0.18979111
175.0,17.391905,9.640351,-0.18978556
176.0,17.391615,9.640841,-0.18978
177.0,17.391325,9.64133,-0.18977444
178.0,17.391033,9.64182,-0.18976888
179.0,17.390743,9.642309,-0.18976332
180.0,17.390453,9.642798,-0.18975776
181.0,17.390163,9.643289,-0.1897522
182.0,17.389874,9.643778,-0.18974665
183.0,17.389582,9.644267,-0.18974109
184.0,17.389292,9.644756,-0.18973553
185.0,17.389002,9.6452465,-0.18972997
186.0,17.38871,9.645736,-0.18972442
187.0,17.38842,9.646225,-0.18971886
188.0,17.38813,9.646714,-0.1897133
189.0,17.38784,9.647204,-0.18970774
190.0,17.387548,9.647694,-0.18970218
191.0,17.387259,9.648183,-0.18969662
192.0,17.386969,9.648672,-0.18969107
193.0,17.386677,9.649161,-0.18968551
194.0,17.386387,9.649652,-0.18967995
195.0,17.386097,9.650141,-0.18967439
196.0,17.385805,9.65063,-0.18966882
197.0,17.385515,9.651119,-0.18966326
198.0,17.385225,9.651608,-0.1896577
199.0,17.384933,9.652098,-0.18965214
200.0,17.384644,9.652587,-0.18964659
201.0,17.384352,9.653077,-0.18964103
202.0,17.384062,9.653566,-0.18963547
203.0,17.383772,9.654056,-0.1896299
204.0,17.38348,9.654545,-0.18962434
205.0,17.38319,9.655034,-0.18961878
206.0,17.382898,9.655523,-0.18961322
207.0,17.382608,9.656013,-0.18960766
208.0,17.382318,9.656502,-0.18960209
209.0,17.382027,9.656991,-0.18959653
210.0,17.381737,9.65748,-0.18959098
211.0,17.381445,9.657969,-0.18958542
212.0,17.381155,9.658459,-0.18957984
213.0,17.380863,9.658948,-0.18957429
214.0,17.380573,9.659437,-0.18956873
215.0,17.380281,9.659926,-0.18956316
216.0,17.379992,9.660416,-0.1895576
217.0,17.3797,9.660905,-0.18955204
218.0,17.37941,9.661394,-0.18954647
219.0,17.379118,9.661883,-0.18954091
220.0,17.378828,9.662373,-0.18953535
221.0,17.378536,9.662862,-0.18952978
222.0,17.378246,9.663351,-0.18952422
223.0,17.377954,9.66384,-0.18951865
224.0,17.377663,9.66433,-0.18951309
225.0,17.377373,9.664819,-0.18950753
226.0,17.37708,9.665308,-0.18950196
227.0,17.376791,9.665797,-0.1894964
228.0,17.3765,9.666286,-0.18949082
229.0,17.376207,9.666775,-0.18948527
230.0,17.375917,9.667264,-0.1894797
231.0,17.375626,9.667753,-0.18947414
232.0,17.375336,9.668242,-0.18946856
233.0,17.375044,9.668732,-0.189463
234.0,17.374752,9.669221,-0.18945743
235.0,17.374462,9.66971,-0.18945187
236.0,17.37417,9.670198,-0.1894463
237.0,17.373878,9.670688,-0.18944074
238.0,17.373589,9.671177,-0.18943517
239.0,17.373297,9.671666,-0.18942961
240.0,17.373005,9.672155,-0.18942404
241.0,17.372715,9.672644,-0.18941846
242.0,17.372423,9.673133,-0.1894129
243.0,17.372131,9.673622,-0.18940733
244.0,17.37184,9.674111,-0.18940178
245.0,17.37155,9.6746,-0.1893962
246.0,17.371258,9.675089,-0.18939063
247.0,17.370966,9.675578,-0.18938507
248.0,17.370676,9.676067,-0.1893795
249.0,17.370384,9.676556,-0.18937393
250.0,17.370092,9.677045,-0.18936837
251.0,17.3698,9.677534,-0.1893628
252.0,17.369509,9.678022,-0.18935722
253.0,17.369219,9.678512,-0.18935166
254.0,17.368927,9.679001,-0.18934609
255.0,17.368635,9.679489,-0.18934052
256.0,17.368343,9.679978,-0.18933494
257.0,17.368052,9.680468,-0.18932939
258.0,17.367762,9.680956,-0.18932381
259.0,17.36747,9.681445,-0.18931824
260.0,17.367178,9.681934,-0.18931267
261.0,17.366886,9.682423,-0.18930711
262.0,17.366594,9.682912,-0.18930154
263.0,17.366302,9.6834,-0.18929596
264.0,17.366013,9.683889,-0.18929039
265.0,17.36572,9.684379,-0.18928482
266.0,17.365429,9.684867,-0.18927924
267.0,17.365137,9.685356,-0.18927369
268.0,17.364845,9.685844,-0.18926811
269.0,17.364553,9.686334,-0.18926254
270.0,17.364262,9.686822,-0.18925697
271.0,17.36397,9.687311,-0.1892514
272.0,17.363678,9.687799,-0.18924582
273.0,17.363386,9.688289,-0.18924025
274.0,17.363094,9.688777,-0.18923467
275.0,17.362803,9.689266,-0.1892291
276.0,17.36251,9.6897545,-0.18922353
277.0,17.36222,9.690244,-0.18921795
278.0,17.361929,9.690732,-0.18921238
279.0,17.361637,9.691221,-0.18920681
280.0,17.361345,9.6917095,-0.18920124
281.0,17.361053,9.692199,-0.18919566
282.0,17.360762,9.692687,-0.18919009
283.0,17.36047,9.693176,-0.18918452
284.0,17.360178,9.693665,-0.18917894
285.0,17.359884,9.694153,-0.18917337
286.0,17.359592,9.694642,-0.1891678
287.0,17.3593,9.69513,-0.18916222
288.0,17.359009,9.69562,-0.18915665
289.0,17.358717,9.696108,-0.18915108
290.0,17.358425,9.696596,-0.1891455
291.0,17.358133,9.697085,-0.18913993
292.0,17.357841,9.697574,-0.18913436
293.0,17.35755,9.698062,-0.18912879
294.0,17.357258,9.698551,-0.1891232
295.0,17.356966,9.699039,-0.18911763
296.0,17.356674,9.699528,-0.18911205
297.0,17.35638,9.700017,-0.18910648
298.0,17.356089,9.700505,-0.1891009
299.0,17.355797,9.700994,-0.18909533
300.0,17.355505,9.701483,-0.18908975
301.0,17.355213,9.701971,-0.18908417
302.0,17.354921,9.702459,-0.1890786
303.0,17.35463,9.702948,-0.18907303
304.0,17.354336,9.703437,-0.18906744
305.0,17.354044,9.703925,-0.18906187
306.0,17.353752,9.704413,-0.18905629
307.0,17.35346,9.704902,-0.18905072
308.0,17.353168,9.705391,-0.18904513
309.0,17.352875,9.705879,-0.18903956
310.0,17.352583,9.7063675,-0.18903399
311.0,17.352291,9.706856,-0.1890284
312.0,17.352,9.707344,-0.18902282
313.0,17.351706,9.707832,-0.18901725
314.0,17.351414,9.708322,-0.18901166
315.0,17.351122,9.70881,-0.18900609
316.0,17.35083,9.709298,-0.18900052
317.0,17.350536,9.709786,-0.18899493
318.0,17.350245,9.710275,-0.18898936
319.0,17.349953,9.710763,-0.18898377
320.0,17.349659,9.711251,-0.1889782
321.0,17.349367,9.7117405,-0.18897262
322.0,17.349075,9.712229,-0.18896703
323.0,17.348783,9.712717,-0.18896146
324.0,17.34849,9.713205,-0.18895587
325.0,17.348198,9.713694,-0.1889503
326.0,17.347906,9.714182,-0.18894471
327.0,17.347612,9.71467,-0.18893914
328.0,17.34732,9.715158,-0.18893355
329.0,17.347027,9.715647,-0.18892798
330.0,17.346735,9.716135,-0.18892239
331.0,17.346443,9.716623,-0.18891682
332.0,17.34615,9.717112,-0.18891123
333.0,17.345858,9.7176,-0.18890566
334.0,17.345564,9.718088,-0.18890007
335.0,17.345272,9.718576,-0.1888945
336.0,17.34498,9.719065,-0.1888889
337.0,17.344687,9.719553,-0.18888332
338.0,17.344395,9.720041,-0.18887775
339.0,17.3441,9.72053,-0.18887216
340.0,17.34381,9.721018,-0.18886659
341.0,17.343515,9.721506,-0.188861
342.0,17.343224,9.721994,-0.18885541
343.0,17.34293,9.722483,-0.18884984
344.0,17.342638,9.722971,-0.18884425
345.0,17.342344,9.723459,-0.18883866
346.0,17.342052,9.723947,-0.18883309
347.0,17.341759,9.724435,-0.1888275
348.0,17.341467,9.724923,-0.18882191
349.0,17.341173,9.725411,-0.18881632
350.0,17.340881,9.7259,-0.18881075
351.0,17.340588,9.726388,-0.18880516
352.0,17.340296,9.726876,-0.18879957
353.0,17.340002,9.727364,-0.18879399
354.0,17.33971,9.727852,-0.18878841
355.0,17.339417,9.72834,-0.18878283
356.0,17.339123,9.728828,-0.18877724
357.0,17.33883,9.729317,-0.18877165
358.0,17.338537,9.729805,-0.18876608
359.0,17.338245,9.730292,-0.18876049
360.0,17.337952,9.730781,-0.1887549
361.0,17.337658,9.731269,-0.18874931
362.0,17.337366,9.731757,-0.18874373
363.0,17.337072,9.7322445,-0.18873814
364.0,17.33678,9.732733,-0.18873255
365.0,17.336487,9.733221,-0.18872698
366.0,17.336193,9.733709,-0.18872139
367.0,17.335901,9.734197,-0.1887158
368.0,17.335608,9.734685,-0.18871021
369.0,17.335314,9.735173,-0.18870462
370.0,17.335022,9.735661,-0.18869904
371.0,17.334728,9.736149,-0.18869345
372.0,17.334435,9.736637,-0.18868786
373.0,17.33414,9.737124,-0.18868227
374.0,17.333849,9.737613,-0.18867669
375.0,17.333555,9.738101,-0.1886711
376.0,17.333261,9.738588,-0.18866551
377.0,17.33297,9.739077,-0.18865992
378.0,17.332676,9.739565,-0.18865433
379.0,17.332382,9.740052,-0.18864875
380.0,17.332088,9.7405405,-0.18864316
381.0,17.331795,9.741028,-0.18863757
382.0,17.331503,9.741516,-0.18863198
383.0,17.33121,9.742004,-0.1886264
384.0,17.330915,9.742492,-0.1886208
385.0,17.330622,9.74298,-0.18861522
386.0,17.330328,9.743467,-0.18860963
387.0,17.330036,9.743956,-0.18860403
388.0,17.329742,9.744443,-0.18859844
389.0,17.329449,9.744931,-0.18859285
390.0,17.329155,9.745419,-0.18858726
391.0,17.328861,9.745907,-0.18858168
392.0,17.328568,9.746394,-0.18857609
393.0,17.328276,9.746882,-0.18857048
394.0,17.327982,9.74737,-0.1885649
395.0,17.327688,9.747858,-0.18855931
396.0,17.327394,9.748345,-0.18855372
397.0,17.3271,9.748834,-0.18854813
398.0,17.326807,9.749321,-0.18854253
399.0,17.326513,9.749809,-0.18853694
400.0,17.32622,9.750297,-0.18853135
401.0,17.325926,9.750785,-0.18852577
402.0,17.325632,9.751272,-0.18852016
403.0,17.32534,9.75176,-0.18851458
404.0,17.325047,9.752248,-0.18850899
405.0,17.324753,9.752735,-0.1885034
406.0,17.32446,9.753223,-0.1884978
407.0,17.324165,9.753711,-0.18849221
408.0,17.323872,9.754198,-0.18848662
409.0,17.323578,9.754686,-0.18848102
410.0,17.323284,9.755174,-0.18847543
411.0,17.32299,9.755661,-0.18846983
412.0,17.322697,9.756149,-0.18846424
413.0,17.322403,9.756637,-0.18845865
414.0,17.32211,9.757124,-0.18845305
415.0,17.321815,9.757612,-0.18844746
416.0,17.321522,9.7581,-0.18844186
417.0,17.321228,9.758587,-0.18843627
418.0,17.320934,9.759075,-0.18843068
419.0,17.320639,9.7595625,-0.18842508
420.0,17.320345,9.76005,-0.18841949
421.0,17.320051,9.760537,-0.18841389
422.0,17.319757,9.761025,-0.1884083
423.0,17.319464,9.761513,-0.1884027
424.0,17.31917,9.762,-0.18839711
425.0,17.318876,9.762487,-0.1883915
426.0,17.318583,9.762976,-0.18838592
427.0,17.318289,9.763463,-0.18838032
428.0,17.317995,9.76395,-0.18837473
429.0,17.3177,9.764438,-0.18836913
430.0,17.317406,9.764925,-0.18836354
431.0,17.317112,9.765412,-0.18835793
432.0,17.316818,9.765901,-0.18835233
433.0,17.316525,9.766388,-0.18834674
434.0,17.31623,9.766875,-0.18834114
435.0,17.315935,9.767363,-0.18833555
436.0,17.315641,9.76785,-0.18832995
437.0,17.315348,9.768337,-0.18832435
438.0,17.315054,9.768825,-0.18831876
439.0,17.31476,9.769313,-0.18831316
440.0,17.314465,9.7698,-0.18830755
441.0,17.31417,9.7702875,-0.18830197
442.0,17.313877,9.770775,-0.18829636
443.0,17.313583,9.771262,-0.18829076
444.0,17.313288,9.7717495,-0.18828516
445.0,17.312994,9.772237,-0.18827957
446.0,17.3127,9.772724,-0.18827397
447.0,17.312407,9.7732115,-0.18826836
448.0,17.31211,9.773699,-0.18826278
449.0,17.311817,9.774186,-0.18825717
450.0,17.311523,9.774673,-0.18825157
451.0,17.311228,9.775161,-0.18824597
452.0,17.310934,9.775648,-0.18824036
453.0,17.31064,9.776135,-0.18823478
454.0,17.310345,9.776623,-0.18822917
455.0,17.310051,9.77711,-0.18822357
456.0,17.309757,9.777597,-0.18821797
457.0,17.309462,9.778085,-0.18821236
458.0,17.309168,9.778572,-0.18820676
459.0,17.308874,9.779059,-0.18820117
460.0,17.308578,9.779547,-0.18819557
461.0,17.308285,9.780034,-0.18818997
462.0,17.30799,9.780521,-0.18818437
463.0,17.307695,9.781008,-0.18817876
464.0,17.307402,9.781495,-0.18817316
465.0,17.307106,9.781982,-0.18816756
466.0,17.306812,9.78247,-0.18816195
467.0,17.306517,9.782957,-0.18815635
468.0,17.306223,9.783444,-0.18815075
469.0,17.30593,9.783932,-0.18814515
470.0,17.305634,9.784419,-0.18813954
471.0,17.30534,9.784905,-0.18813394
472.0,17.305044,9.785393,-0.18812834
473.0,17.30475,9.78588,-0.18812273
474.0,17.304455,9.786367,-0.18811713
475.0,17.304161,9.786855,-0.18811153
476.0,17.303865,9.787341,-0.18810593
477.0,17.303572,9.787828,-0.18810032
478.0,17.303276,9.788316,-0.18809472
479.0,17.302982,9.788803,-0.18808912
480.0,17.302687,9.789289,-0.18808351
481.0,17.302393,9.789777,-0.18807791
482.0,17.302097,9.790264,-0.18807231
483.0,17.301802,9.790751,-0.1880667
484.0,17.301508,9.791238,-0.18806109
485.0,17.301212,9.791725,-0.18805549
486.0,17.300919,9.7922125,-0.18804988
487.0,17.300623,9.7927,-0.18804428
488.0,17.30033,9.793186,-0.18803868
489.0,17.300034,9.7936735,-0.18803307
490.0,17.299738,9.794161,-0.18802746
491.0,17.299444,9.794647,-0.18802185
492.0,17.299149,9.795135,-0.18801625
493.0,17.298855,9.795622,-0.18801065
494.0,17.29856,9.796108,-0.18800503
495.0,17.298264,9.796596,-0.18799943
496.0,17.29797,9.797082,-0.18799382
497.0,17.297674,9.797569,-0.18798822
498.0,17.297379,9.798057,-0.1879826
499.0,17.297085,9.798543,-0.187977
500.0,17.29679,9.79903,-0.1879714
501.0,17.296494,9.799517,-0.1879658
502.0,17.296198,9.800004,-0.18796018
503.0,17.295904,9.80049,-0.18795457
504.0,17.295609,9.800978,-0.18794897
505.0,17.295313,9.801465,-0.18794335
506.0,17.29502,9.801951,-0.18793775
507.0,17.294724,9.802439,-0.18793213
508.0,17.294428,9.802925,-0.18792653
509.0,17.294132,9.803412,-0.18792093
510.0,17.293839,9.803899,-0.18791531
511.0,17.293543,9.804386,-0.1879097
512.0,17.293247,9.8048725,-0.18790409
513.0,17.292952,9.80536,-0.18789849
514.0,17.292656,9.805846,-0.18789288
515.0,17.292362,9.806334,-0.18788727
516.0,17.292067,9.80682,-0.18788166
517.0,17.29177,9.807306,-0.18787605
518.0,17.291475,9.807794,-0.18787044
519.0,17.29118,9.80828,-0.18786483
520.0,17.290886,9.808767,-0.18785922
521.0,17.29059,9.809254,-0.1878536
522.0,17.290295,9.80974,-0.187848
523.0,17.289999,9.810227,-0.18784238
524.0,17.289703,9.810714,-0.18783678
525.0,17.289408,9.811201,-0.18783116
526.0,17.289112,9.811687,-0.18782555
527.0,17.288818,9.812174,-0.18781994
528.0,17.288523,9.812661,-0.18781433
529.0,17.288227,9.813148,-0.18780872
530.0,17.287931,9.813634,-0.1878031
531.0,17.287636,9.814121,-0.18779749
532.0,17.28734,9.814608,-0.18779188
533.0,17.287045,9.815094,-0.18778627
534.0,17.286749,9.815581,-0.18778065
535.0,17.286453,9.816068,-0.18777505
536.0,17.286158,9.816554,-0.18776943
537.0,17.285862,9.81704,-0.18776381
538.0,17.285566,9.817528,-0.1877582
539.0,17.28527,9.818014,-0.18775259
540.0,17.284975,9.8185005,-0.18774697
541.0,17.28468,9.818987,-0.18774137
542.0,17.284384,9.819474,-0.18773575
543.0,17.284088,9.819961,-0.18773013
544.0,17.283792,9.820447,-0.18772452
545.0,17.283497,9.820933,-0.18771891
546.0,17.283201,9.82142,-0.1877133
547.0,17.282906,9.821907,-0.18770768
548.0,17.28261,9.822393,-0.18770206
549.0,17.282314,9.82288,-0.18769644
550.0,17.282019,9.823366,-0.18769084
551.0,17.281723,9.823853,-0.18768522
552.0,17.281427,9.824339,-0.1876796
553.0,17.281132,9.824826,-0.18767399
554.0,17.280836,9.825313,-0.18766837
