t,x,y,z
127.0,0.863511,-10.027412,0.14136098
128.0,0.8643008,-10.027344,0.14132844
129.0,0.86509055,-10.027275,0.14129591
130.0,0.8658803,-10.027206,0.14126337
131.0,0.8666701,-10.027138,0.14123084
132.0,0.86745983,-10.027069,0.14119829
133.0,0.86824954,-10.027,0.14116576
134.0,0.8690393,-10.026932,0.14113322
135.0,0.869829,-10.026862,0.14110067
136.0,0.87061876,-10.0267935,0.14106813
137.0,0.87140846,-10.026724,0.14103559
138.0,0.87219816,-10.026655,0.14100306
139.0,0.87298787,-10.026586,0.14097051
140.0,0.87377757,-10.026516,0.14093795
141.0,0.8745673,-10.026447,0.14090541
142.0,0.875357,-10.026378,0.14087287
143.0,0.8761466,-10.026308,0.14084032
144.0,0.8769363,-10.026238,0.14080778
145.0,0.877726,-10.026169,0.14077522
146.0,0.87851566,-10.026099,0.14074267
147.0,0.8793053,-10.026029,0.14071012
148.0,0.88009495,-10.025959,0.14067757
149.0,0.88088465,-10.025889,0.14064501
150.0,0.8816743,-10.02582,0.14061245
151.0,0.88246393,-10.025749,0.14057991
152.0,0.8832535,-10.02568,0.14054735
153.0,0.88404316,-10.025609,0.14051479
154.0,0.8848328,-10.025538,0.14048223
155.0,0.8856224,-10.025468,0.14044967
156.0,0.886412,-10.025398,0.14041711
157.0,0.8872016,-10.025328,0.14038455
158.0,0.8879912,-10.025257,0.14035198
159.0,0.88878083,-10.025187,0.14031942
160.0,0.8895704,-10.025116,0.14028686
161.0,0.89036,-10.025045,0.1402543
162.0,0.8911495,-10.024974,0.14022173
163.0,0.8919391,-10.024903,0.14018917
164.0,0.8927287,-10.024833,0.1401566
165.0,0.8935182,-10.024761,0.14012402
166.0,0.8943078,-10.024691,0.14009146
167.0,0.8950973,-10.024619,0.14005889
168.0,0.8958869,-10.024549,0.14002632
169.0,0.8966764,-10.024477,0.13999374
170.0,0.89746594,-10.0244055,0.13996117
171.0,0.89825547,-10.024334,0.1399286
172.0,0.899045,-10.024262,0.13989602
173.0,0.8998345,-10.024191,0.13986345
174.0,0.900624,-10.024119,0.13983087
175.0,0.9014135,-10.024048,0.1397983
176.0,0.90220296,-10.023976,0.13976571
177.0,0.9029925,-10.023905,0.13973314
178.0,0.90378195,-10.023832,0.13970056
179.0,0.9045714,-10.023761,0.13966797
180.0,0.9053609,-10.023688,0.1396354
